"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.601215415E-1,-4.168412430E-2,4.408848111E-2,-3.588670135E-2,7.049266429E-2
6.700545414E-1,-4.151893132E-2,4.383927095E-2,-1.772524953E-2,6.292763945E-2
6.799875414E-1,-3.773887086E-2,4.327407360E-2,-1.977937639E-2,6.072965956E-2
6.899205418E-1,-4.107355622E-2,4.621578039E-2,-7.317205667E-3,6.226135941E-2
6.998535418E-1,-4.481425761E-2,5.029918344E-2,4.846172333E-3,6.754117948E-2
7.097865418E-1,-4.629773277E-2,3.238338777E-2,1.791002154E-2,5.926999860E-2
7.197195417E-1,-4.559340823E-2,3.291824355E-2,2.903259516E-2,6.328713309E-2
7.296525417E-1,-4.121128555E-2,3.629049727E-2,1.830178499E-2,5.788199705E-2
7.395855417E-1,-4.810893523E-2,2.307137707E-2,3.078383625E-2,6.159872290E-2
7.495185416E-1,-4.533468721E-2,2.396225519E-2,1.753112197E-2,5.419191615E-2
7.594515416E-1,-4.314908023E-2,3.024462246E-2,2.704103351E-2,5.922666465E-2
7.693845415E-1,-3.205545947E-2,2.519141758E-2,2.698548496E-2,4.889147574E-2
7.793175415E-1,-3.548410228E-2,1.785311626E-2,3.562591553E-2,5.335785914E-2
7.892505415E-1,-4.167185429E-2,9.896380515E-3,3.185095310E-2,5.337569672E-2
7.991835414E-1,-3.368121383E-2,1.489441600E-2,4.185904741E-2,5.575345409E-2
8.091165414E-1,-4.141779277E-2,1.972227010E-3,5.875808537E-2,7.191547701E-2
8.190495418E-1,-4.629660901E-2,-9.365160973E-4,5.590522885E-2,7.259233900E-2
8.289825418E-1,-4.673270166E-2,-5.754134146E-3,5.455393732E-2,7.206377412E-2
8.389155418E-1,-4.388199217E-2,-3.172368023E-3,6.622497976E-2,7.950749084E-2
8.488495415E-1,-5.007082226E-2,-1.247528584E-2,5.664197803E-2,7.662267075E-2
8.587825415E-1,-4.135754817E-2,-1.815917688E-2,5.664256275E-2,7.244710077E-2
8.687155414E-1,-3.153415279E-2,-1.685262111E-2,6.008774221E-2,6.992102970E-2
8.786485414E-1,-2.565559058E-2,-1.817215268E-2,6.038945854E-2,6.808320764E-2
8.885815418E-1,-3.663898218E-2,-1.372454575E-2,6.683016658E-2,7.744061813E-2
8.985145418E-1,-3.975880064E-2,-2.166202908E-2,5.486208558E-2,7.113265190E-2
9.084475418E-1,-3.533733716E-2,-1.256645216E-2,5.008081734E-2,6.256781428E-2
9.183805417E-1,-3.747614815E-2,-1.891173181E-2,6.655651689E-2,7.868853296E-2
9.283135417E-1,-3.675698631E-2,-2.080804552E-2,5.938490689E-2,7.287398690E-2
9.382465417E-1,-3.595575331E-2,-1.538710331E-2,4.997030497E-2,6.345557913E-2
9.481795416E-1,-4.201255510E-2,-2.149822253E-2,5.148707271E-2,6.984373282E-2
9.581125416E-1,-3.315507405E-2,-2.034657001E-2,3.908454359E-2,5.514384276E-2
9.680455416E-1,-3.675092896E-2,-1.700094396E-2,3.971428871E-2,5.671761281E-2
9.779785415E-1,-2.899385735E-2,-1.490863661E-2,3.810630441E-2,5.014979208E-2
9.879115415E-1,-3.155219693E-2,-8.976444472E-3,3.066630721E-2,4.490590255E-2
9.978445414E-1,-4.138691216E-2,-5.595680312E-3,2.203640163E-2,4.722066426E-2
1.007777541E0,-3.484291853E-2,-5.846978109E-3,1.955191970E-2,4.037937207E-2
1.017710542E0,-3.735899370E-2,-1.241609649E-2,2.500561774E-2,4.663834025E-2
1.027643542E0,-3.340839554E-2,2.137623271E-3,2.462613344E-2,4.155883509E-2
1.037576542E0,-3.179405238E-2,1.397374906E-3,1.227564454E-2,3.411020188E-2
1.047509542E0,-2.671270321E-2,9.963381384E-4,1.429878116E-2,3.031528237E-2
1.057442542E0,-3.718925086E-2,1.019332314E-2,1.512440801E-2,4.142091179E-2
1.067375542E0,-4.235396854E-2,9.462311547E-3,4.572522640E-3,4.363830833E-2
1.077309541E0,-3.634082900E-2,9.208003348E-3,8.537519574E-3,3.844908866E-2
1.087242542E0,-3.495023321E-2,1.720049847E-2,-6.788617373E-4,3.895942508E-2
1.097175542E0,-3.736125950E-2,1.609442454E-2,-6.174659729E-4,4.068507683E-2
1.107108542E0,-3.531881793E-2,2.474264835E-2,-7.151144743E-4,4.312921210E-2
1.117041542E0,-3.517929789E-2,1.891003246E-2,-8.004838228E-3,4.073388961E-2
1.126974542E0,-2.750544861E-2,2.993204311E-2,-6.628403664E-3,4.118753019E-2
1.136907542E0,-3.496787536E-2,2.850286483E-2,-6.307391524E-3,4.555160588E-2
