"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.678847917E-1,-1.176213110E-3,1.069895654E-2,-1.051914096E-2,1.505003239E-2
6.778177917E-1,-5.139058451E-3,-5.933325039E-4,-3.948040009E-3,6.507609787E-3
6.877507917E-1,6.174773932E-3,4.742937000E-3,-2.016704679E-3,8.043033150E-3
6.976847919E-1,-9.285657112E-3,3.810584759E-3,2.309065461E-3,1.029930908E-2
7.076177918E-1,-1.836240417E-3,-3.631714778E-4,3.028740764E-2,3.034519293E-2
7.175507918E-1,-5.478516729E-3,-1.108063355E-2,2.608267486E-2,2.886348062E-2
7.274847915E-1,-3.027327382E-3,-3.943453599E-3,1.873564839E-2,1.938401553E-2
7.374177915E-1,-8.873247968E-3,-6.184965447E-3,1.393566906E-2,1.764061222E-2
7.473507919E-1,-5.088132857E-3,2.698517432E-3,2.051261723E-2,2.130583389E-2
7.572847917E-1,-9.892075045E-3,3.881614725E-3,3.367703855E-2,3.531377928E-2
7.672177916E-1,-1.868241361E-2,1.005456140E-2,4.519605339E-2,4.992804848E-2
7.771507916E-1,-2.287080844E-2,8.209065939E-3,2.872444689E-2,3.762388193E-2
7.870847918E-1,-2.077269956E-2,1.096236447E-2,3.785019636E-2,4.454566024E-2
7.970177918E-1,-1.469611545E-2,3.738965504E-3,4.877279520E-2,5.107583797E-2
8.069507917E-1,-2.050486739E-2,9.753735862E-3,4.502589941E-2,5.042733948E-2
8.168847919E-1,-2.617541261E-2,1.040655008E-2,5.624846041E-2,6.290737484E-2
8.268177919E-1,-2.337395678E-2,4.937827438E-3,6.163374603E-2,6.610175977E-2
8.367507919E-1,-2.417997033E-2,3.703836529E-3,7.630090177E-2,8.012625650E-2
8.466847916E-1,-1.860741621E-2,3.222816247E-3,7.285630703E-2,7.526396187E-2
8.566177916E-1,-1.994264846E-2,-1.684126016E-3,6.222840786E-2,6.536757800E-2
8.665517918E-1,-2.403704017E-2,5.772284498E-3,6.103206754E-2,6.584840041E-2
8.764847917E-1,-2.604897800E-2,4.181878385E-3,7.046421111E-2,7.524122812E-2
8.864177917E-1,-2.146171169E-2,-4.910491705E-3,5.460071504E-2,5.887237111E-2
8.963517919E-1,-2.687171778E-2,-1.820416390E-3,5.325702488E-2,5.968009578E-2
9.062847919E-1,-1.962751780E-2,-1.189214028E-3,6.239271462E-2,6.541792203E-2
9.162177918E-1,-2.118249801E-2,6.614859137E-3,5.162097394E-2,5.618878477E-2
9.261517916E-1,-2.412475297E-2,4.344951748E-3,3.620946765E-2,4.372651209E-2
9.360847916E-1,-2.066173950E-2,9.027187340E-3,2.783333123E-2,3.582027244E-2
9.460177915E-1,-2.547939752E-2,9.569151141E-3,2.544591308E-2,3.725939940E-2
9.559517917E-1,-1.388011366E-2,1.468089670E-2,2.260884404E-2,3.032072084E-2
9.658847917E-1,-1.701659668E-2,1.787448144E-3,2.201769054E-2,2.788437251E-2
9.758177917E-1,-1.584076501E-2,7.709393953E-3,3.614163995E-3,1.798406997E-2
