"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.573954998E-1,-1.520162780E-2,4.808609454E-2,-3.053766847E-2,5.895685856E-2
6.673284997E-1,-1.447953321E-2,5.834812703E-2,-3.293970466E-2,6.855060140E-2
6.772604999E-1,-1.724303696E-2,4.973386275E-2,-2.740999281E-2,5.934717461E-2
6.871934999E-1,-1.384368505E-2,3.796532712E-2,-1.784745634E-2,4.417629882E-2
6.971264998E-1,-1.401769454E-2,4.884499004E-2,-1.936246991E-2,5.438045654E-2
7.070594998E-1,-9.151532035E-3,3.777400897E-2,-6.806743741E-3,3.945830778E-2
7.169924998E-1,-1.009231249E-2,4.090625276E-2,-6.972219944E-3,4.270583259E-2
7.269254997E-1,-1.635013059E-2,4.371369286E-2,-6.975728273E-4,4.667655001E-2
7.368584997E-1,-2.117126953E-2,4.213124444E-2,-2.203230858E-3,4.720295158E-2
7.467904999E-1,-1.863377893E-2,3.765082458E-2,-7.731773257E-3,4.271513346E-2
7.567234999E-1,-1.866244856E-2,3.140663780E-2,8.755035996E-3,3.756746651E-2
7.666564998E-1,-1.338076830E-2,2.775243865E-2,1.896602869E-2,3.617945627E-2
7.765894998E-1,-8.352455199E-3,2.548894493E-2,1.272997320E-2,2.969010002E-2
7.865224998E-1,-9.343887158E-3,1.296848021E-2,1.593717098E-2,2.257173288E-2
7.964554997E-1,-1.584368862E-2,1.979386652E-2,2.424255610E-2,3.507878486E-2
8.063884997E-1,-1.491454778E-2,9.997308939E-3,3.555808783E-2,3.983425073E-2
8.163204999E-1,-2.266227297E-2,8.000142183E-3,4.014698267E-2,4.679060919E-2
8.262534998E-1,-1.828340281E-2,9.407347720E-4,5.716939688E-2,6.002922405E-2
8.361864998E-1,-1.843948692E-2,-1.199282203E-3,5.009309649E-2,5.339261440E-2
8.461194998E-1,-9.659143444E-3,2.960162060E-3,5.318919718E-2,5.414011737E-2
8.560524997E-1,-1.344315078E-2,-9.206623770E-4,5.702730954E-2,5.859761049E-2
8.659854997E-1,-1.628884446E-2,-5.549263470E-3,5.053280711E-2,5.338244443E-2
8.759174999E-1,-1.152919265E-2,-8.777812729E-3,5.495914936E-2,5.683731501E-2
8.858504998E-1,-1.452512322E-2,-1.392526285E-2,6.940703452E-2,7.226498869E-2
8.957834998E-1,-1.621231902E-2,-1.966599522E-2,6.093851209E-2,6.605371232E-2
9.057164998E-1,-1.536319368E-2,-1.530677718E-2,6.098704398E-2,6.472823712E-2
9.156494997E-1,-1.119825851E-2,-1.969980857E-2,6.595951617E-2,6.974339556E-2
9.255824997E-1,-1.739016753E-2,-1.985821330E-2,6.851299524E-2,7.342204764E-2
9.355154997E-1,-1.205792712E-2,-1.878032478E-2,5.562748611E-2,5.993756265E-2
9.454474999E-1,-1.590126542E-2,-1.971341249E-2,6.458132744E-2,6.937014291E-2
9.553804998E-1,-1.972638600E-2,-2.501585950E-2,6.094611347E-2,6.877028630E-2
9.653134998E-1,-1.529288091E-2,-2.394922687E-2,6.388492405E-2,6.991939070E-2
9.752464998E-1,-1.160368983E-2,-1.690683120E-2,5.513690472E-2,5.882656560E-2
9.851794997E-1,-1.832727520E-2,-1.574038477E-2,5.566081524E-2,6.067763247E-2
9.951124997E-1,-1.370940009E-2,-1.364299765E-2,4.794950724E-2,5.170332949E-2
1.005045500E0,-1.726432448E-2,-8.990276791E-3,4.127432585E-2,4.563389038E-2
1.014977500E0,-1.404238075E-2,-1.130420275E-2,3.864015520E-2,4.263842223E-2
1.024910500E0,-1.467483021E-2,-1.570948589E-2,3.869862735E-2,4.426875137E-2
1.034843500E0,-1.767682727E-2,-1.678612274E-2,2.708547235E-2,3.643990877E-2
1.044776500E0,-1.350858478E-2,-7.805859307E-3,2.131427050E-2,2.641422778E-2
1.054709500E0,-9.883786160E-3,-3.716672994E-3,3.052363515E-2,3.229853232E-2
1.064642500E0,-1.694566950E-2,1.083648945E-3,3.165624082E-2,3.592280046E-2
1.074575500E0,-1.611710077E-2,3.727152301E-3,2.456356823E-2,2.961454855E-2
1.084507500E0,-1.251148833E-2,5.528464741E-3,1.912916601E-2,2.351651026E-2
1.094440500E0,-1.686053770E-2,4.313970641E-3,1.295450628E-2,2.169579008E-2
1.104373500E0,-1.126769420E-2,6.326808392E-3,1.037939250E-2,1.657471646E-2
1.114306500E0,-1.138350561E-2,1.124458856E-2,1.455138087E-2,2.162793696E-2
1.124239500E0,-7.526645623E-3,1.174506340E-2,1.813221574E-3,1.406714900E-2
1.134172500E0,-8.988321628E-3,6.948364560E-3,4.497093558E-3,1.221857382E-2
1.144105500E0,-1.709400605E-2,2.078183126E-2,-7.449352741E-4,2.691922143E-2
1.154037500E0,-1.924791930E-2,2.172542112E-2,9.039795399E-4,2.903951617E-2
1.163970500E0,-1.394792994E-2,2.041356631E-2,-8.672005534E-3,2.620042212E-2
1.173903500E0,-1.396654967E-2,3.114928951E-2,-7.468063831E-3,3.494445198E-2
1.183836500E0,-9.942020774E-3,3.378296452E-2,-1.868770123E-2,3.986681133E-2
1.193769500E0,-6.529402994E-3,3.082288011E-2,-2.167562842E-2,3.824285436E-2
1.203702500E0,-1.240077496E-2,2.579300928E-2,-5.654842257E-3,2.917251769E-2
1.213635500E0,-1.390659744E-2,2.227727494E-2,-1.268670380E-2,2.916543990E-2
1.223567500E0,-2.022197407E-2,3.100963698E-2,-1.283054531E-2,3.918097388E-2
1.233500500E0,-1.478433760E-2,2.182282523E-2,-1.751241088E-3,2.641740306E-2
1.243433500E0,-1.679687614E-2,3.593505736E-2,-7.440581918E-3,4.035871225E-2
1.253366500E0,-1.123717904E-2,3.026920589E-2,-7.439412475E-3,3.313372717E-2
1.263299500E0,-1.368034674E-2,3.035810870E-2,4.935050011E-4,3.330180472E-2
1.273232500E0,-7.662922293E-3,2.668651636E-2,-6.692138314E-3,2.856002887E-2
1.283164500E0,-1.059281588E-2,1.965226340E-2,2.744683027E-3,2.249338769E-2
1.293097500E0,-8.457138631E-3,2.526871275E-2,1.706217527E-3,2.670097781E-2
1.303030500E0,-8.715183567E-3,2.266791919E-2,6.060054302E-3,2.503024657E-2
1.312963500E0,-1.415499447E-2,1.946542887E-2,1.589273214E-3,2.412037684E-2
1.322896500E0,-1.258755695E-2,2.508831473E-2,2.212060153E-2,3.573781104E-2
1.332829417E0,-1.394506115E-2,2.338144396E-2,2.783625484E-2,3.893602105E-2
1.342762417E0,-1.225952815E-2,1.241974643E-2,1.155409813E-2,2.092948436E-2
1.352694416E0,-1.262980308E-2,1.304964230E-2,2.087222099E-2,2.766685200E-2
1.362627416E0,-1.468849808E-2,9.508824321E-3,2.795202971E-2,3.297704778E-2
1.372560416E0,-1.420582870E-2,1.112601799E-2,1.931803107E-2,2.643445044E-2
1.382493417E0,-1.364343619E-2,1.764221907E-2,2.625692189E-2,3.445021323E-2
1.392426417E0,-9.181042202E-3,1.008420861E-2,2.885717869E-2,3.191738650E-2
1.402359417E0,-9.295611084E-3,-2.600942021E-3,3.115571916E-2,3.261674602E-2
1.412292417E0,-1.440909253E-2,2.194167674E-4,4.003822446E-2,4.255266747E-2
1.422224416E0,-1.472358137E-2,1.832800610E-3,5.281088233E-2,5.485555851E-2
1.432157416E0,-8.224656992E-3,-3.291516462E-3,3.878399670E-2,3.978287902E-2
1.442090417E0,-1.929369204E-2,-1.016045082E-2,3.927574754E-2,4.492288568E-2
1.452023417E0,-6.422161404E-3,-6.100409226E-3,3.676670730E-2,3.781864508E-2
1.461956417E0,-1.202459799E-2,-9.161454029E-3,4.038496435E-2,4.312155542E-2
1.471889417E0,-1.759094629E-2,-7.917915713E-3,4.519722283E-2,4.914187351E-2
1.481822417E0,-1.425728420E-2,-1.325897262E-2,4.984868288E-2,5.351599474E-2
1.491755417E0,-4.440174568E-3,-1.351970362E-2,4.087203741E-2,4.327841238E-2
1.501687416E0,-9.767974745E-3,-1.263394182E-2,4.745307863E-2,5.006819837E-2
1.511620417E0,-7.620639615E-3,4.101337558E-3,4.818748891E-2,4.895844366E-2
1.521553417E0,-1.169072198E-2,-1.349800497E-2,4.607021213E-2,4.940985290E-2
1.531486417E0,-1.424149672E-2,-7.686649198E-3,4.963116646E-2,5.220304099E-2
1.541419417E0,-1.237223323E-2,-1.501890231E-2,3.492717326E-2,3.998183354E-2
