"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.782952085E-1,-1.252690122E-2,5.571446344E-2,-2.040093541E-2,6.064010931E-2
5.882282085E-1,-1.795579428E-3,5.070153583E-2,-4.774251580E-3,5.095746578E-2
5.981602087E-1,-1.310082371E-2,6.288574453E-2,1.235516667E-3,6.424776221E-2
6.080932086E-1,-1.607167521E-2,6.109967597E-2,-1.539513409E-2,6.502675835E-2
6.180252084E-1,-1.664351463E-2,6.186717784E-2,-1.903561056E-2,6.683493654E-2
6.279582083E-1,-1.860024881E-2,6.581059489E-2,-4.350796223E-2,8.105520608E-2
6.378912088E-1,-9.702220978E-3,6.633408515E-2,-4.735250652E-2,8.207681657E-2
6.478232085E-1,-1.056002579E-2,6.452126557E-2,-4.014405906E-2,7.672061870E-2
6.577562084E-1,-5.810314240E-3,6.498054609E-2,-4.792553365E-2,8.095114513E-2
6.676882086E-1,-6.332105147E-3,7.336364435E-2,-2.728603184E-2,7.852927735E-2
6.776212086E-1,-1.276172175E-2,5.688926043E-2,-1.084892392E-2,5.930386703E-2
6.875532083E-1,-8.551635118E-3,5.326663624E-2,5.424461961E-3,5.422075053E-2
6.974862088E-1,-2.016249692E-2,5.263164690E-2,1.635466218E-3,5.638520450E-2
7.074177084E-1,-1.736451287E-2,4.280320829E-2,1.445782542E-2,4.840113287E-2
7.173507083E-1,-1.374420016E-2,4.956039688E-2,1.051738679E-2,5.249525123E-2
7.272827085E-1,-6.269211033E-3,3.315601509E-2,9.427465796E-3,3.503571685E-2
7.372157085E-1,-9.715066580E-3,3.005847087E-2,5.503399372E-3,3.206527085E-2
7.471477087E-1,-5.348292841E-3,3.164845672E-2,1.940632403E-2,3.750779200E-2
7.570807086E-1,-9.141472997E-3,1.715865433E-2,1.760830522E-2,2.623048531E-2
7.670127084E-1,-5.853044596E-3,2.367400574E-2,2.645397305E-2,3.597956877E-2
7.769457083E-1,-6.589400908E-3,1.910869162E-2,4.519546866E-2,4.950952118E-2
7.868777085E-1,-9.434701726E-3,1.126672575E-2,4.659119904E-2,4.885378730E-2
7.968107085E-1,-1.046710988E-2,1.313458225E-3,5.009777427E-2,5.119641148E-2
8.067427087E-1,-1.214619267E-2,-4.246430732E-3,6.124724507E-2,6.258424082E-2
8.166757086E-1,-8.620924624E-3,-5.825480456E-3,6.118351042E-2,6.206189259E-2
8.266087086E-1,-3.502171542E-3,-5.588640813E-3,6.412465990E-2,6.446293601E-2
8.365407083E-1,-1.114535035E-2,-3.871103441E-3,6.139225602E-2,6.251570503E-2
8.464737087E-1,-3.866325170E-3,-3.453685334E-3,5.942408323E-2,5.964979531E-2
8.564057085E-1,-5.561506078E-3,-1.407442166E-2,6.181033194E-2,6.363597119E-2
8.663387084E-1,-9.522610959E-3,-1.234387424E-2,5.043398917E-2,5.278862201E-2
8.762707086E-1,-5.399026573E-3,-1.667125236E-2,4.760101318E-2,5.072412246E-2
8.862037086E-1,-3.117342526E-3,-2.367023245E-2,5.496265769E-2,5.992404750E-2
8.961357083E-1,-5.250891019E-3,-1.606032796E-2,5.530179620E-2,5.782555364E-2
9.060687087E-1,-5.797998542E-3,-2.503933059E-2,4.591935396E-2,5.262292211E-2
9.160007085E-1,-8.638904812E-3,-2.315475471E-2,5.511410058E-2,6.040146873E-2
9.259337084E-1,-1.136572642E-2,-1.472566444E-2,5.443699300E-2,5.752748159E-2
9.358657086E-1,-1.074281523E-2,-1.869877439E-2,4.494053006E-2,4.984680015E-2
9.457987086E-1,-1.058469373E-2,-1.859722470E-2,4.339394152E-2,4.838312380E-2
9.557307083E-1,-8.832831373E-3,-1.825360028E-2,3.407114089E-2,3.964915478E-2
9.656637087E-1,-9.379664809E-4,-7.625737656E-3,3.299174488E-2,3.387457580E-2
9.755957085E-1,-7.722490802E-3,-1.341214227E-2,2.249540806E-2,2.730505096E-2
9.855287084E-1,-8.174983067E-3,-5.861705784E-3,1.664819241E-2,1.945127896E-2
9.954617084E-1,-5.848878454E-3,-8.432287965E-3,1.739429712E-2,2.019590136E-2
1.005393709E0,-7.899825890E-3,2.776934076E-3,2.084064603E-2,2.245998973E-2
1.015326709E0,-8.793490576E-3,6.298419703E-3,1.754924834E-2,2.061484136E-2
1.025258709E0,-1.327344448E-2,5.073446296E-3,3.631120920E-3,1.466660236E-2
1.035191709E0,-1.039206452E-2,3.699606434E-3,1.085243225E-3,1.108421605E-2
1.045123708E0,-8.628352415E-3,1.586751603E-2,4.966040254E-3,1.873200699E-2
1.055056708E0,-1.405904531E-2,1.848644737E-2,3.749234676E-3,2.352577846E-2
1.064988709E0,-1.291544870E-2,2.447078023E-2,-3.613579273E-3,2.790494321E-2
1.074921709E0,-6.610788926E-3,3.005397582E-2,-6.057715416E-3,3.136303412E-2
1.084853709E0,-1.006744355E-2,2.992376564E-2,-5.222148299E-3,3.200087503E-2
1.094786709E0,-7.379204426E-3,3.677418077E-2,-5.600463152E-3,3.792305654E-2
1.104718708E0,-9.094265867E-3,3.432942336E-2,-1.423153818E-2,3.825900755E-2
1.114651708E0,-6.618125355E-3,2.894832216E-2,-1.225868762E-2,3.212600755E-2
1.124583709E0,-7.814547904E-3,3.270113826E-2,-7.907774448E-3,3.453931816E-2
1.134516709E0,-1.199556291E-3,3.019995522E-2,-8.519977927E-3,3.140169190E-2
1.144448709E0,-8.959633727E-3,3.074922804E-2,-7.504316568E-3,3.289536181E-2
1.154381709E0,-9.286292084E-3,3.409858625E-2,-7.404329181E-3,3.610779550E-2
1.164314709E0,-1.134907099E-2,3.225939939E-2,-1.076355457E-2,3.585142073E-2
1.174246708E0,-8.871395588E-3,3.487489549E-2,-6.955263019E-3,3.665154402E-2
1.184179708E0,-3.793609561E-3,2.794658449E-2,-7.947535515E-3,2.930130336E-2
1.194111709E0,-1.042272585E-2,3.483049320E-2,-9.254972935E-3,3.751600985E-2
