"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.335645830E-1,-1.726850707E-1,-4.813427925E-3,9.966286719E-2,1.994391883E-1
6.434965832E-1,-1.543777857E-1,-8.437532187E-4,9.129900992E-2,1.793564101E-1
6.534285834E-1,-1.228422716E-1,-3.190825582E-2,6.664305568E-2,1.433515167E-1
6.633615834E-1,-7.941152913E-2,-4.601875663E-2,1.069163382E-2,9.240253219E-2
6.732935831E-1,-6.265409430E-2,-4.367811620E-2,-9.885887504E-3,7.701327248E-2
6.832255833E-1,-8.154377114E-2,-2.548684359E-2,2.227789164E-2,8.829082774E-2
6.931575830E-1,-1.133741676E-1,6.608523130E-3,5.627594233E-2,1.267452411E-1
7.030895832E-1,-1.173004998E-1,9.918047190E-3,5.377684236E-2,1.294207236E-1
7.130215834E-1,-8.456540206E-2,-3.085517228E-2,-6.141915321E-3,9.022788928E-2
7.229545834E-1,-4.490831556E-2,-3.809344053E-2,-5.680453062E-2,8.182066803E-2
7.328865831E-1,-3.810550041E-2,-2.447644472E-3,-5.979655087E-2,7.094820379E-2
7.428185833E-1,-5.770441711E-2,3.072419465E-2,-4.026041865E-2,7.677680119E-2
7.527505835E-1,-5.338204566E-2,5.022231996E-2,-3.683219612E-2,8.202764712E-2
7.626825832E-1,-4.015557077E-2,2.531785905E-2,-3.135452449E-2,5.689086093E-2
7.726145834E-1,8.778982172E-3,-1.215577662E-2,-2.534767985E-3,1.520718521E-2
7.825475833E-1,2.147802908E-2,1.759076357E-2,8.169729710E-3,2.893933620E-2
7.924795831E-1,5.481125135E-4,5.330029428E-2,5.333888590E-2,7.540728444E-2
8.024115833E-1,6.141641233E-3,9.948803544E-2,9.327302992E-2,1.365117104E-1
8.123435834E-1,-1.761869316E-2,1.116993606E-1,9.624516964E-2,1.484934281E-1
8.222755832E-1,-1.560188798E-2,8.171600819E-2,1.553394699E-1,1.762137220E-1
8.322075834E-1,1.420132452E-2,4.627194107E-2,1.833581579E-1,1.896390893E-1
8.421405833E-1,1.803539864E-2,4.660815597E-2,1.142043078E-1,1.246604176E-1
8.520725830E-1,-2.517509563E-3,4.206837773E-2,2.805026293E-2,5.062512726E-2
8.620045832E-1,-3.059636903E-2,8.180839419E-2,1.195346296E-2,8.815688535E-2
8.719365834E-1,-5.141874251E-2,1.262548345E-1,1.093429327E-4,1.363238141E-1
8.818685832E-1,-6.209253319E-2,1.147124308E-1,-6.623258114E-2,1.462914190E-1
8.918005833E-1,-7.606127556E-2,9.405070961E-2,-1.156538326E-1,1.673519125E-1
9.017335833E-1,-7.280614888E-2,1.156982714E-1,-1.282873267E-1,1.874685667E-1
9.116655830E-1,-9.277607141E-2,1.412348163E-1,-1.344076073E-1,2.159168304E-1
9.215975832E-1,-1.246610480E-1,1.680214959E-1,-1.038295931E-1,2.335640905E-1
9.315295834E-1,-1.849684811E-1,2.058138049E-1,-1.006399369E-1,2.944504341E-1
9.414615831E-1,-2.609554422E-1,2.511127692E-1,-7.629037678E-2,3.701021309E-1
9.513945831E-1,-3.093505986E-1,2.936261201E-1,-5.285005867E-2,4.297757787E-1
9.613265833E-1,-3.167234625E-1,2.922578716E-1,-1.149492431E-1,4.460288597E-1
9.712585830E-1,-3.564028506E-1,3.251297486E-1,-1.035974586E-1,4.934215021E-1
9.811905832E-1,-4.318939861E-1,4.051079643E-1,-1.738488311E-1,6.171452779E-1
9.911225834E-1,-5.802458140E-1,4.028000683E-1,-2.930694652E-1,7.647370863E-1
1.001054583E0,-6.063600639E-1,4.639748079E-1,-3.320575297E-1,8.325907472E-1
1.010987583E0,-6.153947429E-1,4.093372554E-1,-4.201224446E-1,8.501591302E-1
1.020919583E0,-6.631468336E-1,2.773615050E-1,-5.140696585E-1,8.837198318E-1
1.030851583E0,-7.789779098E-1,1.868378359E-1,-5.100713325E-1,9.496776954E-1
1.040783583E0,-8.607021041E-1,2.262159097E-1,-6.186301535E-1,1.083828869E0
1.050715583E0,-9.613121472E-1,2.327846718E-1,-7.658338076E-1,1.250924126E0
1.060647583E0,-1.122587199E0,3.117179900E-1,-9.577832794E-1,1.508217138E0
1.070580583E0,-1.220594865E0,3.189305305E-1,-1.094208761E0,1.669988419E0
1.080512583E0,-1.210124110E0,1.971201646E-1,-1.100768752E0,1.647710098E0
1.090444583E0,-1.151340151E0,-2.440744758E-2,-1.034279478E0,1.547873995E0
1.100376583E0,-1.091676697E0,-1.570597208E-1,-9.500860047E-1,1.455709169E0
1.110308583E0,-1.087218341E0,-1.305794352E-1,-8.449372798E-1,1.383117391E0
1.120240583E0,-1.170281767E0,3.320867658E-2,-6.828705883E-1,1.355350313E0
1.130173583E0,-1.341345131E0,1.689044255E-1,-4.599583554E-1,1.428039619E0
1.140105458E0,-1.427609688E0,3.419773310E-1,-2.526207662E-1,1.489575499E0
1.150037458E0,-1.396822782E0,3.913167214E-1,-1.696932149E-1,1.460492536E0
1.159969458E0,-1.298153065E0,3.513276136E-1,-1.032735229E-1,1.348813513E0
1.169901458E0,-1.157537469E0,2.563471967E-1,-6.202024698E-2,1.187204021E0
1.179833458E0,-9.195447548E-1,1.543021739E-1,5.371953964E-2,9.339472715E-1
1.189766458E0,-6.553132457E-1,3.574578345E-2,1.417745143E-1,6.714262609E-1
1.199698458E0,-5.084999298E-1,1.342146492E-1,1.816683125E-1,5.564073386E-1
1.209630458E0,-4.048065038E-1,2.778316212E-1,1.154877716E-1,5.043769826E-1
1.219562458E0,-2.065366669E-1,1.571217012E-1,1.904116541E-1,3.218714368E-1
1.229494458E0,-1.082397458E-1,3.502207357E-1,1.405220407E-1,3.925771901E-1
1.239426458E0,-9.563442796E-2,6.304298347E-1,-7.007829487E-2,6.414816348E-1
1.249359458E0,-1.240523346E-2,6.713767165E-1,-3.134008187E-1,7.410267596E-1
1.259291458E0,2.117348416E-1,3.080786830E-1,-5.297314256E-1,6.483513719E-1
1.269223458E0,3.897006972E-1,2.720142263E-1,-5.579787397E-1,7.329383649E-1
1.279155458E0,5.037799111E-1,3.066127861E-1,-6.774946582E-1,8.982230299E-1
1.289087458E0,5.365849106E-1,3.429684341E-1,-6.766520745E-1,9.291979030E-1
1.299019458E0,5.428678534E-1,1.707983387E-1,-5.175382268E-1,7.692355914E-1
1.308952458E0,5.684016209E-1,1.601464659E-1,-2.413344705E-1,6.379417057E-1
1.318884458E0,5.058653206E-1,3.018812191E-1,-1.507324487E-1,6.080725813E-1
1.328816458E0,5.704873958E-1,1.932335204E-1,3.476695955E-2,6.033272774E-1
1.338748458E0,6.247575970E-1,3.549569803E-1,6.907315850E-2,7.218639859E-1
1.348680458E0,7.104684229E-1,4.299796808E-1,-3.126564682E-2,8.310387756E-1
1.358612458E0,7.774101251E-1,5.176306129E-1,-2.790396559E-1,9.747671946E-1
1.368545458E0,8.509564767E-1,5.682341713E-1,-5.253360736E-1,1.150215192E0
1.378477458E0,9.552547972E-1,5.970901805E-1,-5.273299742E-1,1.243826882E0
1.388409458E0,1.073074438E0,7.409673536E-1,-5.082867622E-1,1.399598800E0
1.398341458E0,1.152675509E0,8.278774434E-1,-5.086931437E-1,1.507584361E0
1.408273458E0,1.192642543E0,8.714889014E-1,-4.920127916E-1,1.556909030E0
1.418206458E0,1.185251517E0,9.713757169E-1,-5.465690678E-1,1.627000211E0
1.428138458E0,1.185698098E0,1.070225236E0,-6.411226380E-1,1.721133427E0
1.438070458E0,1.112138663E0,1.058079985E0,-7.792490745E-1,1.721515257E0
1.448002458E0,9.853603564E-1,7.742865425E-1,-7.696023381E-1,1.470626547E0
1.457934458E0,9.046502155E-1,4.843617100E-1,-7.699648654E-1,1.282904584E0
1.467866458E0,8.616347350E-1,4.153996485E-1,-9.720428842E-1,1.363759016E0
1.477799458E0,9.151804662E-1,3.241947788E-1,-1.175861619E0,1.524896091E0
1.487731458E0,1.027249809E0,2.468811393E-1,-1.356724770E0,1.719562319E0
1.497663458E0,1.140067304E0,4.247932005E-1,-1.274621091E0,1.762061760E0
1.507595458E0,1.153012893E0,4.843231183E-1,-1.235714303E0,1.758123276E0
1.517527458E0,1.099755722E0,4.377284110E-1,-1.046319480E0,1.579826973E0
1.527459458E0,1.084877628E0,1.938275975E-1,-8.345619804E-1,1.382397303E0
1.537392458E0,1.113078164E0,-6.830074131E-2,-4.556682533E-1,1.204674872E0
1.547324458E0,1.070885972E0,-1.660661870E-1,-4.075176018E-1,1.157776031E0
1.557256458E0,9.233633521E-1,-1.096820712E-2,-6.381124914E-1,1.122456116E0
1.567188458E0,8.582138215E-1,1.113929665E-1,-6.820765364E-1,1.101892807E0
1.577120458E0,7.718172634E-1,4.716481090E-2,-7.392541194E-1,1.069777108E0
1.587052458E0,6.606747039E-1,2.446574432E-1,-8.637612212E-1,1.114644237E0
1.596985458E0,6.546585768E-1,6.885154903E-2,-9.183888334E-1,1.129936475E0
1.606917458E0,7.879690272E-1,-1.968897843E-1,-1.054254152E0,1.330831541E0
1.616849458E0,8.465628789E-1,7.198273301E-2,-1.113523284E0,1.400637114E0
1.626781458E0,8.392344904E-1,2.122767323E-1,-1.126204725E0,1.420462257E0
1.636713458E0,7.009387770E-1,9.048332334E-2,-1.034144992E0,1.252580642E0
1.646645458E0,5.449076546E-1,3.489501357E-2,-8.798743933E-1,1.035529315E0
1.656578458E0,4.596735960E-1,5.245899689E-1,-6.855082673E-1,9.779652524E-1
1.666510458E0,1.689294223E-1,1.067674681E0,-5.883380681E-1,1.230694136E0
1.676442458E0,-3.120794211E-1,1.478438657E0,-8.676490349E-1,1.742409044E0
1.686374458E0,-1.000512612E0,1.669459591E0,-9.771246994E-1,2.177818516E0
1.696306458E0,-1.132073064E0,1.957819124E0,-5.069109124E-1,2.317672068E0
1.706239458E0,-9.647257517E-1,1.950351060E0,-2.499193525E-1,2.190211112E0
1.716171458E0,-7.174842046E-1,1.934764722E0,-4.453841704E-1,2.111034148E0
1.726103458E0,-6.417312600E-1,1.931310187E0,-7.552866000E-1,2.170768504E0
1.736035458E0,-6.810151206E-1,1.893914904E0,-7.754653412E-1,2.156859234E0
1.745967458E0,-6.668250977E-1,1.801096203E0,-7.435740423E-1,2.059491587E0
1.755899458E0,-6.328725091E-1,1.776861248E0,-7.364971572E-1,2.024892977E0
1.765832458E0,-6.689251982E-1,1.760176803E0,-7.699683738E-1,2.034338859E0
1.775764458E0,-7.420768628E-1,1.794547906E0,-7.845372963E-1,2.094416154E0
1.785696458E0,-8.181213641E-1,1.911653602E0,-6.656107771E-1,2.183295621E0
1.795628458E0,-8.040113018E-1,1.980387622E0,-5.817289603E-1,2.215124802E0
1.805560458E0,-6.543475780E-1,1.943871760E0,-6.764228636E-1,2.159712033E0
1.815492458E0,-4.958440701E-1,1.853860307E0,-7.754203176E-1,2.069767149E0
1.825425458E0,-3.972582965E-1,1.809835451E0,-7.733521575E-1,2.007832681E0
1.835357458E0,-3.171264087E-1,1.806361620E0,-7.704829288E-1,1.989260015E0
1.845289458E0,-2.572827512E-1,1.844909390E0,-6.525592071E-1,1.973757480E0
1.855221458E0,-9.068296921E-2,1.858488963E0,-4.585971236E-1,1.916380951E0
1.865153458E0,9.527869798E-2,1.827649578E0,-4.713136482E-1,1.889845911E0
1.875086458E0,2.737241166E-1,1.773292692E0,-5.275217628E-1,1.870232893E0
1.885018458E0,3.994367498E-1,1.703361163E0,-4.583626503E-1,1.808614189E0
1.894950458E0,4.137323150E-1,1.663698329E0,-1.287428248E-1,1.719197858E0
1.904882458E0,3.992072831E-1,1.650818667E0,3.389490581E-1,1.731893528E0
1.914814458E0,3.285262134E-1,1.565424176E0,6.981084323E-1,1.745232852E0
1.924746458E0,2.375067004E-1,1.394742782E0,1.113275946E0,1.800305583E0
1.934679458E0,6.138882078E-3,1.199472091E0,1.304664086E0,1.772263908E0
1.944611458E0,-1.465210099E-1,9.126702565E-1,1.369547129E0,1.652299834E0
1.954543458E0,-2.033573348E-1,6.500887585E-1,1.413265007E0,1.568849125E0
1.964475458E0,-2.009123581E-1,4.351129514E-1,1.367730984E0,1.449267781E0
1.974407458E0,-2.119447201E-1,3.358874559E-1,1.413211212E0,1.467960108E0
1.984339458E0,-2.719360746E-1,3.085195631E-1,1.497037480E0,1.552499523E0
1.994272458E0,-3.329795625E-1,3.026396030E-1,1.392947102E0,1.463819574E0
2.004204458E0,-4.362754510E-1,1.349730331E-1,1.359424430E0,1.434081158E0
2.014136458E0,-5.194883829E-1,-7.562145531E-2,1.395264353E0,1.490754641E0
