Time (seconds),x,y,z
16.76,32,392,-936
16.78,32,392,-936
16.79,48,164,-1124
16.81,100,376,-892
16.82,88,552,-904
16.85,104,196,-988
16.88,44,240,-968
16.89,156,488,-864
16.91,84,436,-968
16.92,48,188,-948
16.94,48,188,-948
16.96,72,308,-960
16.97,120,552,-944
16.99,36,380,-1024
17.00,60,168,-1080
17.02,60,168,-1080
17.04,56,384,-940
17.05,100,552,-788
17.07,92,300,-1012
17.11,132,452,-860
17.12,112,516,-1032
