Time (seconds),x,y,z
17.06,-56,244,-1056
17.08,-88,216,-1064
17.10,-36,200,-1048
17.11,28,168,-1008
17.13,-4,204,-1012
17.14,-4,204,-1012
17.16,-128,224,-992
17.18,-176,192,-992
17.19,-140,140,-1012
17.21,-28,160,-1036
17.22,-28,160,-1036
17.24,-12,232,-1072
17.28,-80,316,-984
17.29,-96,260,-1028
17.31,72,92,-972
17.32,72,92,-972
17.34,-120,-204,364
17.36,116,424,-1608
17.37,164,-16,-1020
17.39,164,-16,-1020
17.40,412,-516,-1396
17.42,452,716,-1140
17.44,-64,-500,-1004
17.45,176,-4,-548
17.47,176,-4,-548
17.48,-748,-448,-76
17.52,92,220,276
17.54,-20,-460,-1836
17.55,412,8,-796
17.57,412,8,-796
17.58,228,-64,-2040
17.60,440,12,-1888
17.62,116,184,116
17.63,116,184,116
17.65,280,596,-1728
17.66,208,448,-68
17.68,172,116,128
17.70,-44,-20,-100
17.71,-44,-20,-100
17.75,224,40,-96
17.77,488,1980,-1908
17.78,904,-284,-612
17.80,72,-48,652
17.82,-548,544,-524
17.83,-548,544,-524
17.85,1204,-12,-264
17.86,552,156,-844
17.88,504,296,-1056
17.90,504,296,-1056
17.91,0,148,-4
17.93,248,140,-824
17.94,148,204,-956
17.96,416,232,-1008
18.00,456,256,-1064
18.01,416,228,-888
18.03,392,200,-820
18.04,404,172,-820
18.06,424,176,-936
18.08,424,176,-936
18.09,428,168,-960
18.11,408,112,-964
18.12,416,68,-880
18.14,416,68,-880
18.16,428,32,-760
18.17,468,36,-984
18.19,540,-8,-1164
18.23,456,-140,-768
18.24,444,-164,-560
18.26,444,-164,-560
18.28,176,-12,-864
18.29,276,72,-1520
18.31,740,-320,-780
18.32,740,-320,-780
18.34,476,-180,-1280
18.36,376,-36,-704
18.37,348,-32,-596
18.39,392,40,-720
18.40,392,40,-720
18.42,520,84,-1108
18.44,492,112,-1092
18.47,372,80,-972
18.49,308,92,-880
18.50,308,92,-880
18.52,264,144,-968
18.54,252,176,-968
18.55,256,208,-820
18.57,212,272,-596
18.58,212,272,-596
18.60,548,256,-1668
18.62,256,240,-800
18.63,352,188,-964
18.65,352,188,-964
18.66,464,200,-976
18.70,368,92,-672
18.72,236,108,-404
18.74,164,172,-396
18.75,300,208,-580
18.77,300,208,-580
18.78,192,332,-500
18.80,368,280,-944
18.82,400,316,-740
18.83,536,312,-568
18.85,536,312,-568
18.86,248,288,-540
18.88,396,344,-660
18.90,324,244,-584
18.91,324,244,-584
18.95,548,328,-424
18.96,272,420,-724
18.98,316,288,-720
19.00,364,368,-872
19.01,364,368,-872
19.03,328,344,-736
19.04,356,336,-724
19.06,416,360,-804
19.08,408,344,-748
19.09,408,344,-748
19.11,368,264,-632
19.12,372,152,-880
19.14,244,204,-484
19.18,344,296,-856
19.19,420,656,508
19.21,804,812,164
19.22,316,148,0
19.24,428,552,264
19.26,428,552,264
19.27,468,-488,-208
19.29,72,288,-848
19.30,172,352,-292
19.32,576,-108,536
19.34,576,-108,536
19.35,-564,-756,-980
19.37,-84,-68,-576
19.38,56,-120,-1952
19.42,156,388,-940
19.44,156,388,-940
19.46,-136,424,-1324
19.47,-176,236,-1388
19.49,16,376,-1528
19.50,20,172,-1352
19.52,20,172,-1352
19.54,-20,84,-892
19.55,-4,184,-920
19.57,4,244,-928
19.58,20,236,-1156
19.60,20,236,-1156
19.62,16,148,-1264
19.66,96,72,-828
19.67,128,216,-1112
19.69,8,216,-1136
19.70,8,216,-1136
19.72,-80,284,-1044
19.74,140,120,-1064
19.75,148,148,-880
19.77,-52,212,-960
19.78,-52,212,-960
19.80,-76,232,-1032
19.82,108,104,-960
19.83,76,156,-1080
19.85,-52,232,-1028
19.86,-52,232,-1028
19.90,96,148,-960
19.92,-8,68,-1004
19.93,-28,204,-948
19.95,-28,204,-948
19.96,52,184,-844
19.98,12,284,-1060
20.00,-20,152,-1192
20.01,-48,196,-964
20.03,-48,196,-964
20.04,44,180,-904
20.06,100,76,-1016
20.08,4,232,-980
20.09,4,232,-980
20.12,56,216,-1072
20.14,28,168,-1052
20.16,-40,160,-672
20.18,-112,256,-924
20.19,-112,256,-924
20.21,64,256,-1188
20.22,-12,232,-1168
20.24,20,144,-812
20.26,40,168,-764
20.27,40,168,-764
20.29,8,332,-1256
20.30,-40,152,-1200
20.32,-12,156,-788
20.34,80,104,-872
20.38,88,192,-1044
20.39,-48,300,-1180
20.41,0,168,-1044
20.42,-12,136,-1044
20.44,116,20,-780
20.46,116,20,-780
20.47,12,148,-1012
20.49,-68,268,-1224
20.50,104,144,-1072
20.52,104,216,-1040
20.54,104,216,-1040
20.55,-48,156,-1112
